Ref ID,Reference,Propellant type,Test #,Mass (kg),Fireball or Plume Distance (m),Measurement Distance (m),Burn time (sec),Peak flux (cal/cm^2/s),Av. flux (cal/cm^2/s),Type,Drum diameter (cm),Configuration,Notes
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,1,45.4,,8,35,0.468,0.127,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,1,45.4,,6.4,35,0.576,0.161,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,1,45.4,,5,35,1.068,0.289,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,1,45.4,,4,35,1.05,0.329,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,1,45.4,,3.2,35,1.75,0.482,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,2,49.9,,8,29,0.186,0.107,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,2,49.9,,6.4,29,0.24,0.15,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,2,49.9,,5,29,0.432,0.221,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,2,49.9,,4,29,0.45,0.241,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,2,49.9,,3.2,29,0.65,0.365,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,3,47.6,,8,15,0.42,0.166,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,3,47.6,,6.4,15,0.504,0.212,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,3,47.6,,5,15,1.032,0.464,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,3,47.6,,4,15,1,0.467,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,3,47.6,,3.2,15,1.6,0.733,Unconfined Burn (Test Data),60,,Barrel
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,4,45.4,,8,42,0.234,0.049,Unconfined Burn (Test Data),,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,4,45.4,,6.4,42,0.372,0.075,Unconfined Burn (Test Data),,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,4,45.4,,5,42,0.78,0.191,Unconfined Burn (Test Data),,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,4,45.4,,4,42,0.9,0.154,Unconfined Burn (Test Data),,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",IMR5010,4,45.4,,3.2,42,1.4,0.348,Unconfined Burn (Test Data),,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,5,49.9,,8,23,0.312,0.145,Unconfined Burn (Test Data),,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,5,49.9,,6.4,23,0.384,0.17,Unconfined Burn (Test Data),,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,5,49.9,,5,23,0.972,0.381,Unconfined Burn (Test Data),,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,5,49.9,,4,23,0.7,0.352,Unconfined Burn (Test Data),,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,5,49.9,,3.2,23,1.35,0.659,Unconfined Burn (Test Data),,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-SP,5,49.9,,2.5,23,1.3,0.665,Unconfined Burn (Test Data),,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,6,47.6,,8,20,0.6,0.274,Unconfined Burn (Test Data),,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,6,47.6,,6.4,20,0.552,0.257,Unconfined Burn (Test Data),,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,6,47.6,,4,20,0.8,0.432,Unconfined Burn (Test Data),,,Packaged
1,"DDESB BOM ""SCALING STUDIES OF THERMAL RADIATION FLUX FROM BURNING PROPELLANTS"" Hay and Watson 1992",M1-8-MP,6,47.6,,3.2,20,1.6,0.888,Unconfined Burn (Test Data),,,Packaged
